Inventory_ID,Store_ID,Product_ID,Stock_Quantity,Reorder_Level,Last_Restock_Date
1,7,1180,382,51,2025-09-10
2,11,978,141,92,2026-01-18
3,25,61,203,79,2025-08-11
4,25,921,167,29,2025-12-20
5,16,283,18,16,2025-11-09
6,3,52,27,80,2025-12-09
7,21,1039,43,82,2025-07-31
8,16,1191,370,40,2026-01-08
9,16,724,497,31,2025-07-05
10,9,531,339,76,2026-03-06
11,22,933,-20,16,2026-01-09
12,16,1151,402,25,2025-11-23
13,3,584,335,47,2025-11-11
14,9,1141,119,17,2025-11-28
15,21,546,57,22,2025-07-17
16,10,902,241,55,2025-10-11
17,4,1011,411,29,2025-03-24
18,21,204,481,71,2025-03-28
19,8,521,59,80,2026-02-04
20,4,606,202,35,2025-07-31
21,2,230,61,90,2025-10-28
22,12,89,352,75,2025-05-17
23,6,426,136,98,2025-06-27
24,4,668,125,41,2025-09-13
25,23,136,166,31,2025-04-06
26,4,784,1,89,2025-04-26
27,24,602,167,77,2026-03-04
28,11,395,68,79,2025-12-13
29,8,686,213,84,2025-06-17
30,17,1118,53,34,2025-08-03
31,5,968,244,68,2025-11-02
32,23,786,418,93,2025-07-31
33,6,298,217,19,2025-11-23
34,8,832,7,48,2025-06-30
35,3,550,338,75,2025-12-03
36,17,622,486,60,2025-11-30
37,10,692,177,36,2025-08-10
38,16,741,287,18,2026-03-04
39,3,504,477,81,2025-10-11
40,7,1069,436,34,2025-10-23
41,22,227,86,17,2025-12-22
42,18,66,146,35,2025-10-20
43,14,532,241,39,2026-01-09
44,15,2,328,51,2025-11-12
45,21,1008,427,13,2025-12-18
46,18,116,108,94,2026-01-26
47,20,470,338,68,2025-07-26
48,17,765,211,96,2026-02-21
49,3,252,375,68,2025-03-20
50,4,940,388,76,2025-05-23
51,16,930,394,38,2025-08-12
52,25,985,426,54,2025-08-01
53,14,164,454,80,2025-05-30
54,15,1014,413,22,2025-09-17
55,4,216,221,53,2025-12-10
56,13,1112,387,98,2026-02-16
57,9,722,261,16,2025-09-20
58,23,714,371,26,2025-07-07
59,18,539,339,85,2026-03-16
60,19,435,13,95,2025-09-08
61,14,719,73,19,2025-10-27
62,9,948,99,58,2025-06-23
63,17,413,176,43,2025-08-06
64,23,391,470,33,2026-02-27
65,22,275,132,86,2025-06-27
66,7,869,441,73,2025-10-13
67,9,1104,127,36,2026-03-09
68,18,927,10,35,2025-07-16
69,5,28,442,12,2026-02-05
70,16,291,146,65,2026-02-12
71,4,425,206,57,2025-12-07
72,4,1178,68,27,2025-09-11
73,9,994,350,56,2026-01-03
74,2,311,90,20,2025-06-13
75,12,1007,460,27,2025-11-10
76,20,368,372,26,2025-04-15
77,2,1125,223,70,2026-01-05
78,5,1032,229,42,2025-09-05
79,17,685,473,11,2025-12-16
80,17,905,12,39,2025-10-19
81,15,723,289,14,2025-11-07
82,12,319,231,81,2025-11-20
83,8,523,430,20,2025-12-19
84,15,1039,327,18,2025-08-15
85,4,315,484,80,2025-05-13
86,13,1192,222,91,2025-06-24
87,20,513,274,45,2025-12-18
88,22,1049,481,10,2025-12-08
89,2,766,385,43,2025-10-05
90,16,893,354,32,2025-03-30
91,16,179,448,45,2026-01-02
92,17,36,182,60,2026-01-26
93,23,186,5,37,2025-11-28
94,2,29,140,35,2025-07-31
95,8,303,113,86,2025-10-20
96,24,392,258,86,2025-12-06
97,17,171,500,78,2025-08-02
98,14,1163,59,99,2026-02-03
99,9,1025,204,27,2025-09-30
100,20,162,359,36,2025-09-10
101,16,305,154,97,2025-09-27
102,4,1023,262,81,2026-01-12
103,23,523,315,29,2026-01-03
104,14,595,21,97,2025-07-29
105,20,752,344,50,2025-05-01
106,24,538,321,16,2025-08-05
107,12,456,24,57,2025-10-04
108,24,850,280,59,2025-07-22
109,16,1127,253,30,2025-04-15
110,22,58,274,73,2025-05-29
111,21,659,392,21,2025-06-28
112,23,63,215,56,2025-03-17
113,16,884,96,87,2025-06-07
114,11,653,362,98,2026-03-17
115,22,889,197,35,2025-03-18
116,20,135,381,61,2025-12-16
117,20,326,314,97,2026-03-17
118,20,453,272,11,2026-02-26
119,14,500,135,30,2025-10-31
120,11,84,498,46,2025-09-07
121,11,1028,84,86,2026-02-17
122,3,255,35,46,2025-10-02
123,2,235,385,30,2025-12-19
124,24,371,313,95,2025-10-05
125,12,1149,40,12,2025-06-23
126,24,93,155,50,2026-03-02
127,5,1108,454,22,2025-08-31
128,3,175,100,26,2025-09-20
129,22,158,188,90,2025-12-11
130,2,492,383,20,2026-01-29
131,1,384,301,58,2025-06-27
132,22,512,220,80,2025-09-05
133,21,26,140,37,2025-07-31
134,19,850,63,13,2025-12-22
135,23,1161,441,96,2025-12-07
136,25,685,136,48,2025-08-22
137,14,791,400,84,2025-08-18
138,1,1072,79,38,2025-05-21
139,7,1098,472,21,2025-09-19
140,23,267,217,82,2025-12-27
141,22,922,345,32,2025-07-06
142,6,323,268,67,2025-10-24
143,10,694,46,52,2025-11-25
144,10,271,340,89,2025-05-02
145,16,656,51,42,2026-03-14
146,5,95,174,30,2025-04-24
147,18,374,90,70,2025-04-07
148,17,1073,230,11,2025-12-23
149,6,918,101,26,2025-05-13
150,25,184,395,16,2025-09-22
151,13,1124,477,88,2025-09-19
152,13,1055,333,26,2025-05-20
153,10,750,253,33,2025-03-28
154,20,345,104,11,2025-09-20
155,1,399,375,95,2026-01-05
156,21,306,51,70,2025-06-24
157,18,336,317,50,2025-04-25
158,21,38,465,59,2025-12-09
159,25,701,488,40,2025-07-14
160,25,456,155,36,2026-03-08
161,16,378,241,98,2025-05-31
162,17,281,273,18,2025-09-18
163,23,199,43,49,2025-03-29
164,8,623,87,76,2025-11-10
165,11,1040,492,40,2026-02-15
166,10,576,312,78,2026-03-02
167,5,437,31,80,2025-10-26
168,12,967,365,55,2025-12-13
169,24,186,17,61,2025-11-10
170,9,90,21,99,2025-06-03
171,15,1085,376,23,2025-10-11
172,21,530,316,97,2025-09-28
173,18,712,419,90,2025-10-23
174,4,530,165,26,2026-01-26
175,11,788,438,38,2025-11-05
176,13,1063,188,41,2025-10-15
177,3,1018,445,59,2025-03-17
178,20,235,26,66,2025-06-20
179,11,932,326,42,2025-09-27
180,12,296,455,26,2025-03-20
181,24,807,39,34,2025-10-05
182,3,1192,173,93,2025-11-27
183,6,407,220,56,2026-01-09
184,23,1041,15,23,2025-12-04
185,2,590,9,50,2025-04-03
186,8,1187,441,94,2025-10-17
187,24,164,42,14,2025-05-14
188,17,83,171,14,2025-05-15
189,24,1031,366,25,2025-09-24
190,16,340,296,73,2026-01-17
191,16,353,455,73,2025-09-11
192,21,344,398,40,2025-11-10
193,1,258,375,19,2025-11-15
194,3,14,500,91,2025-11-10
195,15,67,9,93,2025-11-01
196,25,699,196,95,2025-09-20
197,3,198,362,75,2025-10-23
198,4,238,331,13,2025-07-24
199,22,669,115,87,2025-05-24
200,10,1161,332,63,2025-07-20
201,6,689,410,94,2025-04-22
202,8,494,175,16,2025-06-08
203,6,955,229,54,2025-03-21
204,20,746,398,80,2026-01-18
205,25,1157,454,10,2025-12-27
206,4,307,42,41,2025-08-24
207,1,1051,333,90,2025-12-24
208,23,59,389,24,2025-10-20
209,7,514,241,59,2025-08-07
210,1,161,391,49,2025-07-01
211,5,1152,164,70,2025-12-02
212,6,998,60,85,2025-05-29
213,4,163,360,87,2025-12-05
214,25,1040,367,10,2025-05-20
215,13,1014,490,41,2025-11-09
216,23,33,134,77,2025-06-04
217,20,109,452,54,2025-10-08
218,9,69,35,31,2025-05-03
219,20,974,407,94,2025-05-13
220,16,310,183,34,2025-06-22
221,18,1098,369,57,2026-02-25
222,25,399,409,80,2025-07-14
223,15,1026,225,45,2025-12-01
224,20,691,310,79,2025-11-09
225,16,1154,222,28,2025-04-02
226,24,1067,401,50,2025-12-09
227,20,141,369,28,2025-11-12
228,14,1050,430,90,2025-07-19
229,3,1174,313,50,2025-04-05
